CID_MEESHOSKU_SIZE,SKU,TOTAL,
"3740133-ALC1014-3XL","ALC1014-3XL","1",
"3740133-ALC1014-L","ALC1014-L","2",
"3740133-ALC1014-M","ALC1014-M","7",
"3740133-ALC1019-M","ALC1019-M","3",
"3740133-ALC1019-S","ALC1019-S","14",
"3740395-ALC1021-S","ALC1021-S","7",
"3740395-ALC1022-XS","ALC1022-XS","24",
"3736934-ALC2009DRB1-L","ALC2009DRB-L","8",
"3739151-ALC2009DRB3-L","ALC2009DRB-L","8",
"543420-ALC2009DRB-L","ALC2009DRB-L","8",
"543420-ALC2009DRB-S","ALC2009DRB-S","154",
"3736934-ALC2009DRB1-S","ALC2009DRB-S","154",
"3739151-ALC2009DRB3-S","ALC2009DRB-S","154",
"543420-ALC2009DRB-XS","ALC2009DRB-XS","151",
"3736934-ALC2009DRB1-XS","ALC2009DRB-XS","151",
"3739151-ALC2009DRB3-XS","ALC2009DRB-XS","151",
"3740133-ALC2009PCH3-M","ALC2009PCH-M","1",
"3736934-ALC2009PCH1-M","ALC2009PCH-M","1",
"543420-ALC2009PCH-M","ALC2009PCH-M","1",
"3736934-ALC2009PCH1-XS","ALC2009PCH-XS","92",
"543420-ALC2009PCH-XS","ALC2009PCH-XS","92",
"3740133-ALC2009PCH3-XS","ALC2009PCH-XS","92",
"3736934-ALC2009PCH1-XXL","ALC2009PCH-XXL","1",
"543420-ALC2009PCH-XXL","ALC2009PCH-XXL","1",
"3740133-ALC2009PCH3-XXL","ALC2009PCH-XXL","1",
"3736934-ALC2009RED2-S","ALC2009RED-S","57",
"3695058-ALC2009RED1-S","ALC2009RED-S","57",
"543420-ALC2009R-S","ALC2009RED-S","57",
"3695058-ALC2009RED1-XS","ALC2009RED-XS","227",
"543420-ALC2009R-XS","ALC2009RED-XS","227",
"3736934-ALC2009RED2-XS","ALC2009RED-XS","227",
"3736934-ALC2009V1-L","ALC2009V-L","28",
"1278053-ALC2009V2-L","ALC2009V-L","28",
"543420-ALC2009V-L","ALC2009V-L","28",
"3740133-ALC2009V4-L","ALC2009V-L","28",
"3736934-ALC2009V1-XS","ALC2009V-XS","344",
"1278053-ALC2009V2-XS","ALC2009V-XS","344",
"543420-ALC2009V-XS","ALC2009V-XS","344",
"3740133-ALC2009V4-XS","ALC2009V-XS","344",
"3736934-ALC2009V1-XXL","ALC2009V-XXL","56",
"1278053-ALC2009V2-XXL","ALC2009V-XXL","56",
"543420-ALC2009V-XXL","ALC2009V-XXL","56",
"3740133-ALC2009V4-XXL","ALC2009V-XXL","56",
"3695058-ALC2009YLW1-L","ALC2009YLW-L","22",
"543420-ALC2009YLW-L","ALC2009YLW-L","22",
"3695058-ALC2009YLW1-M","ALC2009YLW-M","5",
